settlement,cell_x,cell_y,region,landmass,tier,faction,is_capital
Vivec,4,-10,Ascadian Isles,Vvardenfell,Metropolis,Tribunal Temple,No
Vivec,5,-10,Ascadian Isles,Vvardenfell,Metropolis,Tribunal Temple,No
Vivec,2,-11,Ascadian Isles,Vvardenfell,Metropolis,Tribunal Temple,No
Vivec,3,-11,Ascadian Isles,Vvardenfell,Metropolis,Tribunal Temple,No
Vivec,4,-11,Ascadian Isles,Vvardenfell,Metropolis,Tribunal Temple,No
Vivec,5,-11,Ascadian Isles,Vvardenfell,Metropolis,Tribunal Temple,No
Vivec,3,-12,Ascadian Isles,Vvardenfell,Metropolis,Tribunal Temple,No
Vivec,4,-12,Ascadian Isles,Vvardenfell,Metropolis,Tribunal Temple,No
Vivec,3,-13,Ascadian Isles,Vvardenfell,Metropolis,Tribunal Temple,No
Vivec,4,-13,Ascadian Isles,Vvardenfell,Metropolis,Tribunal Temple,No
Vivec,3,-14,Ascadian Isles,Vvardenfell,Metropolis,Tribunal Temple,No
Vivec,4,-14,Ascadian Isles,Vvardenfell,Metropolis,Tribunal Temple,No
Suran,6,-6,Ascadian Isles,Vvardenfell,Village,Hlaalu,No
Suran,6,-7,Ascadian Isles,Vvardenfell,Village,Hlaalu,No
Omani Manor,7,-12,Ascadian Isles,Vvardenfell,Minor location,Hlaalu,No
Alof's Farm,2,-5,Ascadian Isles,Vvardenfell,Minor location,Velothi/Unaffiliated,No
Arvel Manor,2,-6,Ascadian Isles,Vvardenfell,Minor location,Hlaalu,No
Sterdecan's Farm,4,-5,Ascadian Isles,Vvardenfell,Minor location,Velothi/Unaffiliated,No
Manat's Farm,3,-6,Ascadian Isles,Vvardenfell,Minor location,Hlaalu,No
Ules Manor,5,-7,Ascadian Isles,Vvardenfell,Minor location,Hlaalu,No
Arang Plantation,4,-7,Ascadian Isles,Vvardenfell,Minor location,Hlaalu,No
Dren Plantation,2,-7,Ascadian Isles,Vvardenfell,Outpost/Fortress/Camp,Hlaalu,No
Llovyn's Farm,1,-9,Ascadian Isles,Vvardenfell,Minor location,Hlaalu,No
Piernette's Farm,4,-8,Ascadian Isles,Vvardenfell,Minor location,Hlaalu,No
Gro-Bargrat Plantation,3,-8,Ascadian Isles,Vvardenfell,Minor location,Hlaalu,No
Dirara's Farm,5,-8,Ascadian Isles,Vvardenfell,Minor location,Hlaalu,No
Balur's Farm,1,-8,Ascadian Isles,Vvardenfell,Minor location,Hlaalu,No
Nilera's Farm,4,-8,Ascadian Isles,Vvardenfell,Minor location,Hlaalu,No
Tel Branora,14,-13,Azura's Coast,Vvardenfell,Village,Telvanni,No
Tel Branora,15,-13,Azura's Coast,Vvardenfell,Village,Telvanni,No
Kaushtababi,9,-13,Azura's Coast,Vvardenfell,Minor location,Ashlanders,No
Holamayan,19,-4,Azura's Coast,Vvardenfell,Minor location,Velothi/Unaffiliated,No
Tel Fyr,15,1,Azura's Coast,Vvardenfell,Minor location,Telvanni,No
Wolverine Hall,18,3,Azura's Coast,Vvardenfell,Outpost/Fortress/Camp,Empire,No
Sadrith Mora,18,4,Azura's Coast,Vvardenfell,Town,Telvanni,No
Sadrith Mora,17,4,Azura's Coast,Vvardenfell,Town,Telvanni,No
Sadrith Mora,17,5,Azura's Coast,Vvardenfell,Town,Telvanni,No
Tel Aruhn,15,5,Azura's Coast,Vvardenfell,Village,Telvanni,No
Ashamanu,13,5,Azura's Coast,Vvardenfell,Minor location,Ashlanders,No
Tel Mora,13,14,Azura's Coast,Vvardenfell,Village,Telvanni,No
Ahemmusa,11,16,Azura's Coast,Vvardenfell,Outpost/Fortress/Camp,Ashlanders,No
Molag Mar,13,-8,Molag Amur,Vvardenfell,Outpost/Fortress/Camp,Tribunal Temple,No
Erabenimsun,13,-1,Molag Amur,Vvardenfell,Outpost/Fortress/Camp,Ashlanders,No
Shashurari,10,-1,Molag Amur,Vvardenfell,Minor location,Ashlanders,No
Tel Uvirith,10,1,Molag Amur,Vvardenfell,Outpost/Fortress/Camp,Telvanni,No
Dagoth Ur,2,8,Red Mountain,Vvardenfell,Outpost/Fortress/Camp,Sixth House,No
Fort Frostmoth,-15,22,Hirstaang Forest,Solstheim,Outpost/Fortress/Camp,Empire,No
Fort Frostmoth,-15,23,Hirstaang Forest,Solstheim,Outpost/Fortress/Camp,Empire,No
Raven Rock,-17,25,Hirstaang Forest,Solstheim,Town,East Empire Company,No
Raven Rock,-18,25,Hirstaang Forest,Solstheim,Town,East Empire Company,No
Thirsk,-12,29,Felsaad Coast,Solstheim,Minor location,Skaal Nords,No
Skaal,-13,31,Felsaad Coast,Solstheim,Village,Skaal Nords,No
Skaal,-13,32,Felsaad Coast,Solstheim,Village,Skaal Nords,No
